Index,water_solubility,nΔL,f_max
1/0,0.244457193549879,212.24,0.3808
1/1,0.11246050424680126,2037.78,0.329
1/2,0.4703494622436173,1995.4199999999996,0.2722
1/3,9.243037894451719,764.01,0.3428
1/4,0.8604736092416039,0.0,0.4222
1/5,2.3047014363500735,1337.68,0.3608
1/6,0.19424995690505223,594.2400000000001,0.4539
1/7,2.8158536626455253,0.0,0.4057
1/8,0.13991433349179327,907.26,0.5386
1/9,12.53956700215924,226.45999999999992,0.1259
1/10,2.6082969417600306,1107.36,0.3632
1/11,0.23885014260943607,176.51999999999987,0.6455
1/12,11.355706382572741,0.0,0.0923
1/13,0.7704912036568919,1335.24,0.2925
1/14,0.034398388214040274,137.86000000000013,0.5951
1/15,6.984205316891891,122.97000000000003,0.2148
1/16,0.23722997912179333,1676.6499999999999,0.2361
1/17,1.9934822971914128,0.0,0.358
1/18,0.059543345840653836,0.0,0.4278
1/19,2.861210627547338,0.0,0.1142
1/20,1.0899590079265327,485.3599999999999,0.2726
1/21,0.8674873608979791,577.3199999999999,0.2969
1/22,0.4653428560863196,509.09999999999997,0.3385
1/23,0.05954056352799189,0.0,0.4278
1/24,0.5728318692839632,600.8400000000001,0.2002
1/25,0.8188030469080088,110.41999999999996,0.224
1/26,0.5444392927478635,490.2000000000001,0.2204
1/27,0.07454329855059728,0.0,0.3704
1/28,1.1265827677966536,0.0,0.1637
1/29,0.1496775918634342,638.0699999999999,0.1482
1/30,1.0717535219508822,0.0,0.2172
1/31,0.5521432425699884,324.4799999999999,0.2025
1/32,0.7344254290603623,141.72000000000003,0.228
1/33,0.683284739377159,164.58000000000004,0.2448
1/34,1.542265668867318,0.0,0.1172
1/35,2.515200823726944,0.0,0.0
1/36,0.625022174375842,176.5,0.0997
1/37,0.7075828590985183,123.79999999999995,0.2049
1/38,1.7084444939993984,0.0,0.1025
1/39,2.04482412276687,0.0,0.078
1/40,0.35088747331644704,215.33999999999992,0.207
1/41,0.04216133622360966,325.14000000000016,0.2893
1/42,0.48185719538674504,189.74,0.0919
1/43,0.2598360521223445,278.55999999999995,0.1182
1/44,1.3703880165018771,0.0,0.0848
1/45,0.059080714516886026,187.24,0.2503
1/46,0.3178691974729202,179.69999999999993,0.1764
1/47,0.14902429146636298,338.87999999999994,0.1886
1/48,0.8025803972788222,0.0,0.1175
1/49,0.08365707419958647,343.6800000000002,0.1042
2/0,0.11246050424680126,2037.78,0.329
2/1,0.4703494622436173,1995.4199999999996,0.2722
2/2,9.243037894451719,764.01,0.3428
2/3,2.3047014363500735,1337.68,0.3608
2/4,0.13991433349179327,907.26,0.5386
2/5,12.53956700215924,226.45999999999992,0.1259
2/6,2.6082969417600306,1107.36,0.3632
2/7,0.23885014260943607,176.51999999999987,0.6455
2/8,7.868452484910242,786.7800000000002,0.4341
2/9,15.284397740920447,0.0,0.2821
2/10,2.299967122004554,906.39,0.4394
2/11,1.0819403429479075,1103.2799999999997,0.4744
2/12,0.38191082565287704,309.17999999999995,0.5207
2/13,5.06441388066828,1194.8799999999999,0.3569
2/14,0.19424995690505223,594.2400000000001,0.4539
2/15,2.8158536626455253,0.0,0.4057
2/16,0.7704912036568919,1335.24,0.2925
2/17,0.034398388214040274,137.86000000000013,0.5951
2/18,0.23722997912179333,1676.6499999999999,0.2361
2/19,11.355706382572741,0.0,0.0923
2/20,6.984205316891891,122.97000000000003,0.2148
2/21,0.29509290305053637,157.2199999999999,0.4617
2/22,0.8604736092416039,0.0,0.4222
2/23,0.9201113546132723,404.3599999999999,0.4207
2/24,2.863394196667177,213.24,0.1632
2/25,0.35952171965691393,742.3500000000001,0.4172
2/26,1.1974156595226801,900.0000000000002,0.3583
2/27,7.174748292156874,0.0,0.1492
2/28,0.3913489436113724,425.0000000000001,0.3982
2/29,2.3615095802769597,257.86,0.244
2/30,1.9934822971914128,0.0,0.358
2/31,0.10273031543978592,478.4999999999999,0.4203
2/32,1.3478243670527459,655.6200000000001,0.3028
2/33,2.126482794026169,411.41999999999996,0.1952
2/34,0.1258049306109011,340.02,0.4199
2/35,1.4070826348912242,406.68000000000006,0.2474
2/36,0.244457193549879,212.24,0.3808
2/37,0.06489167049441687,0.0,0.4379
2/38,2.861210627547338,0.0,0.1142
2/39,1.0899590079265327,485.3599999999999,0.2726
2/40,0.4653428560863196,509.09999999999997,0.3385
2/41,0.059543345840653836,0.0,0.4278
2/42,0.8674873608979791,577.3199999999999,0.2969
2/43,0.1645762775365756,564.5699999999999,0.344
2/44,1.532755041601936,0.0,0.2637
2/45,2.451170174252019,0.0,0.1279
2/46,0.05954056352799189,0.0,0.4278
2/47,0.5728318692839632,600.8400000000001,0.2002
2/48,0.5444392927478635,490.2000000000001,0.2204
2/49,2.515200823726944,0.0,0.0
3/0,0.11246050424680126,2037.78,0.329
3/1,0.4703494622436173,1995.4199999999996,0.2722
3/2,9.243037894451719,764.01,0.3428
3/3,2.3047014363500735,1337.68,0.3608
3/4,0.13991433349179327,907.26,0.5386
3/5,12.53956700215924,226.45999999999992,0.1259
3/6,2.6082969417600306,1107.36,0.3632
3/7,0.23885014260943607,176.51999999999987,0.6455
3/8,7.868452484910242,786.7800000000002,0.4341
3/9,15.284397740920447,0.0,0.2821
3/10,2.299967122004554,906.39,0.4394
3/11,1.0819403429479075,1103.2799999999997,0.4744
3/12,0.38191082565287704,309.17999999999995,0.5207
3/13,5.06441388066828,1194.8799999999999,0.3569
3/14,16.088279784610954,180.91999999999996,0.1582
3/15,5.973276248952975,1567.8,0.3414
3/16,17.82785618887721,0.0,0.1301
3/17,0.4103838132207031,1719.4499999999996,0.2757
3/18,0.19424995690505223,594.2400000000001,0.4539
3/19,2.8158536626455253,0.0,0.4057
3/20,0.034398388214040274,137.86000000000013,0.5951
3/21,4.282228026448873,0.0,0.402
3/22,0.592232532872363,173.1199999999999,0.4637
3/23,0.7704912036568919,1335.24,0.2925
3/24,0.23722997912179333,1676.6499999999999,0.2361
3/25,6.984205316891891,122.97000000000003,0.2148
3/26,1.7639319487426535,206.72000000000003,0.3771
3/27,0.29509290305053637,157.2199999999999,0.4617
3/28,0.8604736092416039,0.0,0.4222
3/29,0.9201113546132723,404.3599999999999,0.4207
3/30,0.35952171965691393,742.3500000000001,0.4172
3/31,1.1974156595226801,900.0000000000002,0.3583
3/32,0.3913489436113724,425.0000000000001,0.3982
3/33,0.5828801877726374,404.96999999999986,0.3797
3/34,11.355706382572741,0.0,0.0923
3/35,2.863394196667177,213.24,0.1632
3/36,7.174748292156874,0.0,0.1492
3/37,2.3615095802769597,257.86,0.244
3/38,0.10273031543978592,478.4999999999999,0.4203
3/39,1.9934822971914128,0.0,0.358
3/40,0.1258049306109011,340.02,0.4199
3/41,0.1652526814113065,368.7299999999999,0.3996
3/42,0.018809996710937443,160.24,0.4406
3/43,1.3478243670527459,655.6200000000001,0.3028
3/44,2.126482794026169,411.41999999999996,0.1952
3/45,1.4070826348912242,406.68000000000006,0.2474
3/46,0.244457193549879,212.24,0.3808
3/47,7.010532326902007,0.0,0.0949
3/48,2.0329161347768214,402.4599999999999,0.2144
3/49,1.4921075209320176,415.08000000000004,0.1689
4/0,0.11246050424680126,2037.78,0.329
4/1,0.4703494622436173,1995.4199999999996,0.2722
4/2,9.243037894451719,764.01,0.3428
4/3,2.3047014363500735,1337.68,0.3608
4/4,0.13991433349179327,907.26,0.5386
4/5,12.53956700215924,226.45999999999992,0.1259
4/6,0.23885014260943607,176.51999999999987,0.6455
4/7,7.868452484910242,786.7800000000002,0.4341
4/8,15.284397740920447,0.0,0.2821
4/9,2.299967122004554,906.39,0.4394
4/10,1.0819403429479075,1103.2799999999997,0.4744
4/11,0.38191082565287704,309.17999999999995,0.5207
4/12,5.06441388066828,1194.8799999999999,0.3569
4/13,16.088279784610954,180.91999999999996,0.1582
4/14,5.973276248952975,1567.8,0.3414
4/15,2.5978232153142873,349.31999999999994,0.4762
4/16,1.137297502697327,1630.05,0.2522
4/17,18.898135114270975,158.30999999999995,0.2372
4/18,7.575343293100205,1134.72,0.3688
4/19,0.6628050242892896,284.81999999999994,0.5273
4/20,0.32388622944478557,902.28,0.4804
4/21,0.10215227355135825,2264.29,0.3136
4/22,0.47147369989353166,1990.1399999999996,0.3164
4/23,2.6082969417600306,1107.36,0.3632
4/24,17.82785618887721,0.0,0.1301
4/25,0.4103838132207031,1719.4499999999996,0.2757
4/26,2.8158536626455253,0.0,0.4057
4/27,0.034398388214040274,137.86000000000013,0.5951
4/28,4.282228026448873,0.0,0.402
4/29,2.844277371865176,492.79999999999984,0.4054
4/30,2.8566767086513436,21.08000000000004,0.3943
4/31,1.3568437312939816,1236.6999999999998,0.3477
4/32,0.19424995690505223,594.2400000000001,0.4539
4/33,0.7704912036568919,1335.24,0.2925
4/34,0.35877576428576086,1821.65,0.2696
4/35,0.592232532872363,173.1199999999999,0.4637
4/36,0.9201113546132723,404.3599999999999,0.4207
4/37,0.35952171965691393,742.3500000000001,0.4172
4/38,2.08748012623478,0.0,0.416
4/39,1.508740156642192,401.44000000000005,0.3788
4/40,0.23722997912179333,1676.6499999999999,0.2361
4/41,6.984205316891891,122.97000000000003,0.2148
4/42,1.7639319487426535,206.72000000000003,0.3771
4/43,0.8604736092416039,0.0,0.4222
4/44,1.1974156595226801,900.0000000000002,0.3583
4/45,0.3913489436113724,425.0000000000001,0.3982
4/46,0.5828801877726374,404.96999999999986,0.3797
4/47,11.355706382572741,0.0,0.0923
4/48,0.3575290115974275,0.0,0.4487
4/49,4.405224993780631,426.79999999999995,0.3336
5/0,0.11246050424680126,2037.78,0.329
5/1,9.243037894451719,764.01,0.3428
5/2,2.3047014363500735,1337.68,0.3608
5/3,0.13991433349179327,907.26,0.5386
5/4,12.53956700215924,226.45999999999992,0.1259
5/5,0.23885014260943607,176.51999999999987,0.6455
5/6,7.868452484910242,786.7800000000002,0.4341
5/7,15.284397740920447,0.0,0.2821
5/8,2.299967122004554,906.39,0.4394
5/9,1.0819403429479075,1103.2799999999997,0.4744
5/10,0.38191082565287704,309.17999999999995,0.5207
5/11,5.06441388066828,1194.8799999999999,0.3569
5/12,16.088279784610954,180.91999999999996,0.1582
5/13,5.973276248952975,1567.8,0.3414
5/14,2.5978232153142873,349.31999999999994,0.4762
5/15,18.898135114270975,158.30999999999995,0.2372
5/16,7.575343293100205,1134.72,0.3688
5/17,0.6628050242892896,284.81999999999994,0.5273
5/18,0.10215227355135825,2264.29,0.3136
5/19,0.47147369989353166,1990.1399999999996,0.3164
5/20,2.6173711012161234,2732.5799999999995,0.2995
5/21,0.3895868856860438,460.07999999999987,0.4942
5/22,8.935077284864832,0.0,0.3909
5/23,2.1394024504703024,417.0899999999999,0.5172
5/24,0.8615190707818138,1110.36,0.4859
5/25,5.790403885922548,0.0,0.4715
5/26,0.4703494622436173,1995.4199999999996,0.2722
5/27,1.137297502697327,1630.05,0.2522
5/28,0.32388622944478557,902.28,0.4804
5/29,2.6082969417600306,1107.36,0.3632
5/30,17.82785618887721,0.0,0.1301
5/31,0.034398388214040274,137.86000000000013,0.5951
5/32,2.844277371865176,492.79999999999984,0.4054
5/33,2.8566767086513436,21.08000000000004,0.3943
5/34,1.3568437312939816,1236.6999999999998,0.3477
5/35,2.948088633838437,428.0,0.3732
5/36,0.8299424631372387,1051.05,0.4781
5/37,1.4403303868929203,1743.85,0.1575
5/38,2.953185102996782,731.0999999999999,0.3696
5/39,0.4103838132207031,1719.4499999999996,0.2757
5/40,2.8158536626455253,0.0,0.4057
5/41,4.282228026448873,0.0,0.402
5/42,0.7704912036568919,1335.24,0.2925
5/43,0.35877576428576086,1821.65,0.2696
5/44,0.19424995690505223,594.2400000000001,0.4539
5/45,0.9201113546132723,404.3599999999999,0.4207
5/46,1.508740156642192,401.44000000000005,0.3788
5/47,6.984205316891891,122.97000000000003,0.2148
5/48,1.1974156595226801,900.0000000000002,0.3583
5/49,0.35952171965691393,742.3500000000001,0.4172
6/0,9.243037894451719,764.01,0.3428
6/1,2.3047014363500735,1337.68,0.3608
6/2,0.13991433349179327,907.26,0.5386
6/3,0.23885014260943607,176.51999999999987,0.6455
6/4,7.868452484910242,786.7800000000002,0.4341
6/5,15.284397740920447,0.0,0.2821
6/6,2.299967122004554,906.39,0.4394
6/7,1.0819403429479075,1103.2799999999997,0.4744
6/8,0.38191082565287704,309.17999999999995,0.5207
6/9,5.06441388066828,1194.8799999999999,0.3569
6/10,5.973276248952975,1567.8,0.3414
6/11,2.5978232153142873,349.31999999999994,0.4762
6/12,7.575343293100205,1134.72,0.3688
6/13,0.6628050242892896,284.81999999999994,0.5273
6/14,2.6173711012161234,2732.5799999999995,0.2995
6/15,0.3895868856860438,460.07999999999987,0.4942
6/16,8.935077284864832,0.0,0.3909
6/17,2.1394024504703024,417.0899999999999,0.5172
6/18,0.8615190707818138,1110.36,0.4859
6/19,5.790403885922548,0.0,0.4715
6/20,1.0098577170708802,2830.3999999999996,0.3543
6/21,31.094701832511262,274.86,0.2593
6/22,4.230488891317001,789.7800000000002,0.4451
6/23,0.6628858689589594,284.78,0.5273
6/24,41.93942051684431,119.34000000000009,0.0915
6/25,1.0890819037599986,812.79,0.4553
6/26,0.7846244673703301,1491.1200000000001,0.4439
6/27,34.15398929496024,197.04000000000002,0.16
6/28,0.11246050424680126,2037.78,0.329
6/29,12.53956700215924,226.45999999999992,0.1259
6/30,18.898135114270975,158.30999999999995,0.2372
6/31,0.10215227355135825,2264.29,0.3136
6/32,0.47147369989353166,1990.1399999999996,0.3164
6/33,1.137297502697327,1630.05,0.2522
6/34,0.32388622944478557,902.28,0.4804
6/35,2.6082969417600306,1107.36,0.3632
6/36,0.034398388214040274,137.86000000000013,0.5951
6/37,1.3568437312939816,1236.6999999999998,0.3477
6/38,0.8299424631372387,1051.05,0.4781
6/39,1.4403303868929203,1743.85,0.1575
6/40,22.675879797515748,26.100000000000023,0.1896
6/41,16.088279784610954,180.91999999999996,0.1582
6/42,0.4703494622436173,1995.4199999999996,0.2722
6/43,2.844277371865176,492.79999999999984,0.4054
6/44,2.8566767086513436,21.08000000000004,0.3943
6/45,2.948088633838437,428.0,0.3732
6/46,2.953185102996782,731.0999999999999,0.3696
6/47,4.282228026448873,0.0,0.402
6/48,27.14730550543373,56.48999999999995,0.1074
6/49,3.068880654535397,0.0,0.4389
7/0,0.23885014260943607,176.51999999999987,0.6455
7/1,15.284397740920447,0.0,0.2821
7/2,5.06441388066828,1194.8799999999999,0.3569
7/3,5.973276248952975,1567.8,0.3414
7/4,7.575343293100205,1134.72,0.3688
7/5,2.6173711012161234,2732.5799999999995,0.2995
7/6,8.935077284864832,0.0,0.3909
7/7,0.8615190707818138,1110.36,0.4859
7/8,1.0098577170708802,2830.3999999999996,0.3543
7/9,31.094701832511262,274.86,0.2593
7/10,41.93942051684431,119.34000000000009,0.0915
7/11,34.15398929496024,197.04000000000002,0.16
7/12,3.5224584629731983,2303.63,0.335
7/13,0.5810567142029758,2217.81,0.3607
7/14,8.646450966528336,1040.6100000000001,0.5929
7/15,4.047874264553691,269.20000000000005,0.6179
7/16,4.168376412511959,1629.3000000000002,0.4822
7/17,10.87233532491996,1560.4800000000002,0.351
7/18,9.243037894451719,764.01,0.3428
7/19,2.3047014363500735,1337.68,0.3608
7/20,0.13991433349179327,907.26,0.5386
7/21,7.868452484910242,786.7800000000002,0.4341
7/22,1.0819403429479075,1103.2799999999997,0.4744
7/23,0.38191082565287704,309.17999999999995,0.5207
7/24,0.6628050242892896,284.81999999999994,0.5273
