Index,water_solubility,nΔL,f_max
1/0,23.13145427906152,99.51000000000005,0.2404
1/1,0.0029586382740082314,1161.5500000000002,0.4367
1/2,0.0036285026082287556,449.1199999999999,0.554
1/3,1.148350790055115,1283.0999999999997,0.3368
1/4,21.17610161106568,401.09999999999997,0.1932
1/5,28.833555994813135,0.0,0.3808
1/6,0.4543326713246147,431.40000000000015,0.4389
1/7,2.5363995258958187,439.5,0.2416
1/8,1.3916898261742918,393.76,0.253
1/9,2.481505468451,0.0,0.2971
1/10,5.2633841564848565,154.34000000000003,0.1607
1/11,0.9763090359822603,736.7499999999998,0.182
1/12,0.04826023469613318,370.08000000000004,0.4134
1/13,0.06306120884591951,655.92,0.2035
1/14,0.24108785373407735,410.9000000000001,0.3788
1/15,0.0011352040825407617,705.95,0.3574
1/16,0.11489122491334826,0.0,0.4223
1/17,4.686952867838577,208.53000000000014,0.1432
1/18,12.87500080558543,276.53999999999996,0.0714
1/19,0.09302251901774469,227.92000000000007,0.3429
1/20,0.002125414661517136,993.7899999999997,0.2284
1/21,0.024936476812354936,489.72,0.1831
1/22,0.035419740192351244,459.6400000000001,0.1871
1/23,0.6820804945408457,553.02,0.116
1/24,2.3671014634755823,372.80999999999995,0.1861
1/25,0.002962740458814118,564.42,0.1942
1/26,0.1336609005012206,195.93,0.3466
1/27,0.04728964061766557,217.5,0.4057
1/28,0.2599721461936078,468.4799999999999,0.175
1/29,0.11136701046403537,270.03000000000014,0.2779
1/30,0.18840905519049422,213.15000000000003,0.327
1/31,0.0005055055109779236,524.7,0.2736
1/32,0.45630623628836386,429.30000000000007,0.1807
1/33,0.6286236826638377,242.64999999999986,0.228
1/34,0.28890877332015275,310.71,0.2053
1/35,0.7583946141988943,145.08000000000004,0.1888
1/36,1.5579559329812993,197.33999999999992,0.1417
1/37,1.0603488963185412,345.6599999999999,0.114
1/38,0.00082918971478388,283.44000000000005,0.2599
1/39,0.9960639648542684,91.06000000000006,0.1291
1/40,0.19039351266803664,363.93999999999994,0.1685
1/41,0.31830619494866974,266.1600000000001,0.1047
1/42,1.3413956163185718,0.0,0.1337
