Gen,water_solubility,nΔL,f_max,tanimoto_coef
1,2.364,357.897,0.241,0.181067111
2,3.633,395.588,0.275,0.19327455
3,6.361,469.535,0.284,0.194953161
4,6.692,534.98,0.313,0.209962643
5,7.163,563.687,0.333,0.216970236
6,10.34,558.186,0.358,0.214613091
7,14.28,583.032,0.355,0.227309238
8,14.95,621.103,0.364,0.223025184
9,17.141,735.894,0.377,0.220093196
10,31.573,787.256,0.371,0.227809092
11,32.112,795.175,0.384,0.241898227
12,34.833,872.676,0.396,0.247736705
13,35.572,932.298,0.4,0.263196151
14,33.039,905.817,0.407,0.266218783
15,47.531,848.14,0.413,0.264114441
16,52.379,821.106,0.411,0.263978782
17,53.574,807.341,0.403,0.269226839
18,54.363,818.784,0.402,0.27557862
19,54.472,920.408,0.408,0.278652527
20,58.838,983.571,0.407,0.284389339
21,60.9,991.578,0.412,0.303852673
22,65.039,1012.464,0.409,0.303640333
23,77.933,1107.685,0.419,0.319925263
24,80.328,1160.141,0.425,0.338995279
25,80.003,1139.598,0.429,0.34584188
26,80.67,1135.275,0.427,0.341275716
27,79.686,1074.469,0.435,0.345835151
28,80.605,1141.528,0.431,0.362021133
29,81.151,1122.885,0.436,0.364983048
30,81.116,1137.757,0.44,0.372051449
31,81.66,1160.415,0.441,0.372041839
32,73.819,1234.847,0.44,0.372150989
33,74.844,1264.305,0.438,0.372645515
34,76.419,1239.844,0.449,0.376275899
35,67.326,1287.428,0.46,0.375475744
36,56.211,1329.027,0.471,0.364180242
37,59.117,1302.027,0.462,0.358728949
38,62.193,1372.844,0.456,0.361882636
39,62.167,1375.598,0.458,0.361503737
40,62.167,1375.598,0.458,0.361503737
41,62.167,1375.598,0.458,0.361503737
42,62.168,1375.6,0.458,0.361503737
43,62.147,1431.837,0.451,0.361503737
44,62.147,1431.837,0.451,0.364913596
45,62.147,1431.837,0.451,0.364913596
46,63.497,1433.594,0.452,0.364913596
47,64.313,1463.801,0.448,0.364217354
48,63.838,1459.013,0.453,0.374328311
49,63.838,1459.013,0.453,0.365851125
50,63.838,1459.013,0.453,0.365851125
51,63.838,1459.013,0.453,0.365851125
52,63.838,1459.013,0.453,0.365851125
53,63.838,1459.013,0.453,0.365851125
54,58.601,1496.731,0.452,0.365851125
55,59.354,1497.021,0.452,0.374018563
56,59.397,1504.582,0.452,0.371142494
57,66.306,1279.253,0.436,0.369519352
58,67.883,1282.12,0.449,0.369519352
59,73.258,1272.507,0.468,0.374746151
60,73.556,1326.624,0.459,0.385061702
61,69.948,1364.132,0.459,0.390758459
62,70.562,1430.156,0.447,0.394149733
63,58.487,1467.76,0.444,0.386316075
64,58.487,1467.76,0.444,0.390405879
65,59.229,1426.233,0.448,0.391470656
66,60.514,1405.267,0.447,0.391470656
67,60.527,1356.132,0.454,0.389604965
68,60.527,1356.132,0.454,0.397227904
69,60.527,1356.133,0.454,0.396077181
70,60.527,1356.133,0.454,0.396077181
71,60.527,1356.133,0.454,0.396077181
72,60.527,1356.133,0.454,0.396077181
73,61.255,1349.786,0.455,0.396077181
74,61.255,1349.786,0.455,0.396077181
75,61.255,1349.791,0.455,0.396371322
76,61.255,1349.791,0.455,0.396371322
77,61.255,1349.791,0.455,0.396371322
78,61.255,1349.791,0.455,0.396371322
79,61.255,1349.791,0.455,0.396371322
80,61.255,1349.791,0.455,0.396371322
81,61.255,1349.791,0.455,0.396371322
82,61.255,1349.791,0.455,0.396371322
83,61.255,1349.791,0.455,0.396371322
84,61.255,1349.791,0.455,0.396371322
85,61.255,1349.791,0.455,0.396371322
86,65.025,1363.198,0.46,0.396371322
87,80.45,1378.282,0.458,0.396371322
88,80.355,1443.059,0.448,0.393548104
89,82.917,1386.257,0.459,0.384387314
90,82.915,1408.334,0.456,0.387792209
91,82.915,1408.334,0.456,0.378607368
92,83.001,1436.312,0.451,0.386329505
93,83.001,1436.312,0.451,0.386329505
94,87.685,1372.048,0.455,0.388099129
95,87.685,1372.049,0.455,0.388099129
,
,
