Gen,water_solubility,nΔL,f_max,tanimoto_coef
1,0.695,310.937,0.202,0.217673258
2,0.729,378.917,0.225,0.24188938
3,1.401,400.908,0.254,0.235713269
4,1.701,440.154,0.268,0.246234667
5,1.577,562.254,0.279,0.262888282
6,1.56,588.084,0.296,0.261921839
7,1.859,573.575,0.29,0.267335266
8,1.848,611.38,0.299,0.274068028
9,2.242,682.897,0.315,0.265486727
10,2.237,697.963,0.321,0.273124465
11,2.885,725.854,0.333,0.282328686
12,2.347,745.067,0.339,0.304150673
13,3.761,741.796,0.328,0.315645032
14,3.949,791.864,0.324,0.321702697
15,3.658,829.02,0.343,0.329066546
16,5.803,814.059,0.336,0.336360476
17,7.211,835.76,0.337,0.346919725
18,7.904,815.977,0.331,0.346919725
19,7.992,844.373,0.337,0.353061053
20,9.064,840.686,0.337,0.362670568
21,14.625,827.907,0.339,0.369365733
22,12.661,874.041,0.348,0.359268184
23,12.858,900.58,0.345,0.357551958
24,12.858,900.58,0.345,0.356096561
25,12.852,986.732,0.358,0.35220485
26,12.854,988.476,0.358,0.35220485
27,12.937,972.145,0.358,0.364818403
28,12.937,972.145,0.358,0.364726244
29,12.022,1020.315,0.363,0.368149555
30,12.022,1020.315,0.363,0.368149555
31,12.058,1001.658,0.376,0.374473571
32,11.821,1002.674,0.382,0.374473571
33,11.821,1002.674,0.382,0.376592038
34,11.821,1002.674,0.382,0.365117781
35,11.821,1002.674,0.382,0.365117781
36,11.821,1006.38,0.382,0.365117781
37,12.171,963.807,0.385,0.365117781
38,12.451,947.954,0.384,0.365117781
39,13.142,977.755,0.367,0.354091271
40,13.142,977.755,0.367,0.361873817
41,13.113,998.479,0.369,0.3665825
42,13.113,998.479,0.369,0.3665825
43,13.113,998.479,0.369,0.368539829
44,13.113,998.479,0.369,0.368539829
45,12.843,995.85,0.381,0.368539829
46,12.824,1001.551,0.38,0.368539829
47,13.246,973.64,0.379,0.34993178
48,13.246,973.64,0.379,0.345462859
49,13.246,973.64,0.379,0.354665938
50,13.246,973.64,0.379,0.354665938
51,13.297,953.903,0.38,0.354665938
52,13.297,953.903,0.38,0.354665938
53,13.297,953.903,0.38,0.353940551
54,13.297,953.903,0.38,0.353940551
55,13.297,953.903,0.38,0.353940551
56,13.046,966.697,0.381,0.353940551
57,13.046,967.37,0.383,0.353940551
58,13.046,967.37,0.383,0.349377828
59,13.161,990.545,0.385,0.352385703
60,13.161,990.545,0.385,0.352385703
61,13.161,990.545,0.385,0.348981891
62,13.161,990.545,0.385,0.348981891
63,12.884,983.873,0.401,0.348981891
64,12.884,983.873,0.401,0.348981891
65,12.933,971.509,0.4,0.35371506
66,12.933,971.509,0.4,0.35371506
67,12.933,971.509,0.4,0.355097383
68,12.933,971.509,0.4,0.355097383
69,12.955,954.152,0.403,0.355097383
70,12.955,954.152,0.403,0.355097383
71,12.955,954.151,0.403,0.353102541
72,18.523,929.301,0.401,0.353102541
73,18.523,929.301,0.401,0.353102541
74,18.546,933.033,0.401,0.353102541
75,18.546,933.033,0.401,0.355356457
76,18.487,961.888,0.402,0.355356457
77,18.421,977.277,0.404,0.353263158
78,18.421,977.278,0.404,0.353263158
79,18.435,972.849,0.402,0.35421501
80,18.435,972.849,0.402,0.351982714
81,18.435,972.849,0.402,0.351982714
82,18.435,972.849,0.402,0.359409408
83,18.435,972.849,0.402,0.359409408
84,18.435,972.849,0.402,0.359409408
85,18.435,972.849,0.402,0.359409408
86,18.435,972.849,0.402,0.359409408
87,18.435,972.849,0.402,0.359409408
88,18.435,972.849,0.402,0.359409408
89,18.435,972.849,0.402,0.359409408
90,18.435,972.849,0.402,0.359409408
91,18.435,972.849,0.402,0.359409408
92,24.108,949.091,0.397,0.359409408
93,23.978,954.09,0.399,0.359409408
94,23.978,954.09,0.399,0.359409408
95,23.978,954.09,0.399,0.353670926
96,23.978,954.09,0.399,0.35082595
97,25.873,954.09,0.399,0.35082595
98,25.871,927.458,0.406,0.35082595
99,25.871,927.458,0.406,0.35082595
100,26.576,927.581,0.401,0.35237771
101,19.002,949.871,0.409,0.346405741
102,19.002,949.871,0.409,0.346405741
103,19.002,949.871,0.409,0.347754312
104,19.002,949.871,0.409,0.354016173
105,19.002,949.871,0.409,0.354016173
106,19.002,949.871,0.409,0.354016173
107,19.002,949.871,0.409,0.354016173
108,19.002,949.871,0.409,0.354016173
109,19.002,949.871,0.409,0.354016173
110,19.002,949.871,0.409,0.354016173
111,19.004,925.028,0.411,0.354016173
112,19.004,925.028,0.411,0.354016173
113,19.004,925.028,0.411,0.354016173
114,19.183,936.575,0.406,0.351010434
115,19.183,936.575,0.406,0.351010434
116,19.183,936.575,0.406,0.351010434
117,19.183,936.575,0.406,0.352231411
118,19.183,936.575,0.406,0.352231411
119,19.183,936.575,0.406,0.352231411
120,19.198,900.872,0.415,0.352231411
121,19.198,900.872,0.415,0.352231411
122,18.596,906.074,0.415,0.352231411
,
,
